iter	Passed	Remaining
744	1001	342
745	1002	341
746	1004	340
747	1005	338
748	1007	337
749	1008	336
750	1010	334
751	1011	333
752	1012	332
753	1013	330
754	1015	329
755	1016	328
756	1018	326
757	1019	325
758	1020	324
759	1021	322
760	1023	321
761	1024	320
762	1026	318
763	1027	317
764	1028	316
765	1030	314
766	1031	313
767	1032	311
768	1033	310
769	1035	309
770	1036	307
771	1037	306
772	1038	305
773	1040	303
774	1042	302
775	1043	301
776	1044	299
777	1045	298
778	1047	297
779	1048	295
780	1050	294
781	1051	293
782	1052	291
783	1054	290
784	1055	289
785	1056	287
786	1058	286
787	1059	284
788	1060	283
789	1061	282
790	1063	280
791	1064	279
792	1065	278
793	1066	276
794	1067	275
795	1069	273
796	1070	272
797	1071	271
798	1072	269
799	1073	268
800	1074	267
801	1076	265
802	1077	264
803	1078	262
804	1079	261
805	1081	260
806	1082	258
807	1083	257
808	1084	256
809	1085	254
810	1086	253
811	1087	251
812	1088	250
813	1090	249
814	1092	247
815	1093	246
816	1095	245
817	1096	243
818	1097	242
819	1098	241
820	1099	239
821	1100	238
822	1102	237
823	1103	235
824	1104	234
825	1105	232
826	1107	231
827	1109	230
828	1110	229
829	1111	227
830	1113	226
831	1114	225
832	1115	223
833	1117	222
834	1118	221
835	1119	219
836	1121	218
837	1123	217
838	1125	215
839	1126	214
840	1128	213
841	1129	211
842	1130	210
843	1133	209
844	1135	208
845	1137	207
846	1139	205
847	1140	204
848	1142	203
849	1144	201
850	1145	200
851	1147	199
852	1148	197
853	1149	196
854	1151	195
855	1152	193
856	1154	192
857	1155	191
858	1156	189
859	1158	188
860	1159	187
861	1160	185
862	1162	184
863	1163	183
864	1164	181
865	1167	180
866	1168	179
867	1169	177
868	1170	176
869	1172	175
870	1173	173
871	1174	172
872	1175	171
873	1177	169
874	1178	168
875	1179	166
876	1180	165
877	1182	164
878	1184	163
879	1185	161
880	1187	160
881	1188	158
882	1190	157
883	1191	156
884	1193	155
885	1194	153
886	1196	152
887	1197	151
888	1199	149
889	1200	148
890	1202	147
891	1203	145
892	1204	144
893	1206	143
894	1207	141
895	1208	140
896	1210	138
897	1211	137
898	1213	136
899	1214	134
900	1215	133
901	1217	132
902	1218	130
903	1220	129
904	1222	128
905	1223	126
906	1225	125
907	1227	124
908	1228	122
909	1229	121
910	1231	120
911	1232	118
912	1233	117
913	1235	116
914	1236	114
915	1237	113
916	1239	112
917	1240	110
918	1242	109
919	1244	108
920	1245	106
921	1247	105
922	1248	104
923	1250	102
924	1251	101
925	1252	100
926	1253	98
927	1255	97
928	1256	96
929	1258	94
930	1259	93
931	1261	92
932	1262	90
933	1263	89
934	1264	87
935	1265	86
936	1267	85
937	1268	83
938	1269	82
939	1271	81
940	1272	79
941	1274	78
942	1275	77
943	1276	75
944	1278	74
945	1279	73
946	1280	71
947	1282	70
948	1283	68
949	1284	67
950	1285	66
951	1287	64
952	1289	63
953	1290	62
954	1291	60
955	1293	59
956	1294	58
957	1295	56
958	1297	55
959	1299	54
960	1301	52
961	1303	51
962	1305	50
963	1307	48
964	1308	47
965	1309	46
966	1311	44
967	1312	43
968	1314	42
969	1315	40
970	1317	39
971	1320	38
972	1322	36
973	1323	35
974	1324	33
975	1325	32
976	1327	31
977	1328	29
978	1329	28
979	1331	27
980	1333	25
981	1335	24
982	1336	23
983	1337	21
984	1339	20
985	1340	19
986	1341	17
987	1342	16
988	1344	14
989	1345	13
990	1348	12
991	1349	10
992	1351	9
993	1352	8
994	1353	6
995	1354	5
996	1356	4
997	1358	2
998	1359	1
999	1361	0
